DateTime,Temperature,Humidity,Label
2023-09-01 00:00:00,26.5,23.6,0
2023-09-01 01:00:00,26.5,42.2,0
2023-09-01 02:00:00,20.7,17.0,0
2023-09-01 03:00:00,28.5,73.0,1
2023-09-01 04:00:00,17.0,35.4,0
2023-09-01 05:00:00,22.4,44.7,0
2023-09-01 06:00:00,20.3,56.0,0
2023-09-01 07:00:00,24.4,66.0,1
2023-09-01 08:00:00,25.6,51.4,0
2023-09-01 09:00:00,18.0,44.7,0
2023-09-01 10:00:00,21.8,26.6,0
2023-09-01 11:00:00,25.0,70.4,1
2023-09-01 12:00:00,24.5,18.0,0
2023-09-01 13:00:00,18.1,39.1,0
2023-09-01 14:00:00,18.3,31.5,0
2023-09-01 15:00:00,23.9,63.6,1
2023-09-01 16:00:00,23.1,40.3,0
2023-09-01 17:00:00,29.9,60.0,1
2023-09-01 18:00:00,17.1,70.5,1
2023-09-01 19:00:00,21.8,55.6,0
2023-09-01 20:00:00,16.9,62.2,1
2023-09-01 21:00:00,27.5,63.1,1
2023-09-01 22:00:00,17.8,61.3,1
2023-09-01 23:00:00,19.0,61.6,1
2023-09-02 00:00:00,24.6,24.1,0
2023-09-02 01:00:00,22.5,70.6,1
2023-09-02 02:00:00,19.5,33.3,0
2023-09-02 03:00:00,17.1,61.8,1
2023-09-02 04:00:00,28.8,10.1,1
2023-09-02 05:00:00,18.5,76.0,1
2023-09-02 06:00:00,21.2,31.6,0
2023-09-02 07:00:00,17.7,26.6,0
2023-09-02 08:00:00,28.9,26.8,1
2023-09-02 09:00:00,22.6,15.2,0
2023-09-02 10:00:00,23.3,70.7,1
2023-09-02 11:00:00,27.7,26.5,0
2023-09-02 12:00:00,17.2,74.5,1
2023-09-02 13:00:00,29.2,32.9,1
2023-09-02 14:00:00,19.1,67.8,1
2023-09-02 15:00:00,16.4,28.1,0
2023-09-02 16:00:00,26.9,61.3,1
2023-09-02 17:00:00,27.3,48.0,0
2023-09-02 18:00:00,27.4,28.0,0
2023-09-02 19:00:00,18.2,45.3,0
2023-09-02 20:00:00,25.6,59.2,0
2023-09-02 21:00:00,26.3,74.1,1
2023-09-02 22:00:00,15.1,20.3,0
2023-09-02 23:00:00,27.8,31.9,0
2023-09-03 00:00:00,21.5,78.0,1
2023-09-03 01:00:00,28.9,47.7,1
2023-09-03 02:00:00,15.2,14.9,0
2023-09-03 03:00:00,25.7,59.7,0
2023-09-03 04:00:00,22.4,55.8,0
2023-09-03 05:00:00,29.1,49.7,1
2023-09-03 06:00:00,23.5,68.9,1
2023-09-03 07:00:00,19.6,28.2,0
2023-09-03 08:00:00,15.4,12.5,0
2023-09-03 09:00:00,21.7,58.5,0
2023-09-03 10:00:00,17.8,78.6,1
2023-09-03 11:00:00,24.8,63.6,1
2023-09-03 12:00:00,21.5,70.7,1
2023-09-03 13:00:00,27.9,54.3,0
2023-09-03 14:00:00,18.6,73.1,1
2023-09-03 15:00:00,26.6,76.0,1
2023-09-03 16:00:00,25.1,69.2,1
2023-09-03 17:00:00,29.1,71.7,1
2023-09-03 18:00:00,28.5,16.9,1
